aardvark,0,1,0
aback,1,0,0
abacus,0,1,0
abaft,1,0,0
abalone,0,1,0
abandon,0,0,1
abandonment,0,1,0
abase,0,0,1
abasement,0,1,0
abash,0,0,1
abashedly,1,0,0
abashment,0,1,0
abate,0,0,1
abatement,0,1,0
abattoir,0,1,0
abbe,0,1,0
abbess,0,1,0
abbey,0,1,0
abbot,0,1,0
abbreviate,0,0,1
abbreviation,0,1,0
abdicate,0,0,1
abdication,0,1,0
abdomen,0,1,0
abdominal,1,0,0
-abdominal,0,1,0
abduct,0,0,1
+abductee,0,1,0
abduction,0,1,0
abductor,0,1,0
abeam,1,0,0
abed,1,0,0
aberrant,1,0,0
-aberrant,0,1,0
aberration,0,1,0
aberrational,1,0,0
abet,0,0,1
abetter,0,1,0
abettor,0,1,0
abeyance,0,1,0
abhor,0,0,1
abhorrence,0,1,0
abhorrent,1,0,0
abhorrently,1,0,0
abidance,0,1,0
abide,0,0,1
abidingly,1,0,0
ability,0,1,0
abject,1,0,0
abjection,0,1,0
abjectly,1,0,0
abjectness,0,1,0
abjuration,0,1,0
abjuratory,1,0,0
abjure,0,0,1
abjurer,0,1,0
ablate,0,0,1
ablation,0,1,0
ablative,1,0,0
ablative,0,1,0
ablaze,1,0,0
able,1,0,0
abloom,1,0,0
ablution,0,1,0
ably,1,0,0
abnegate,0,0,1
abnegation,0,1,0
abnormal,1,0,0
-abnormal,0,1,0
abnormality,0,1,0
abnormally,1,0,0
aboard,1,0,0
aboard,1,0,0
abode,0,1,0
abolish,0,0,1
abolition,0,1,0
abolitionism,0,1,0
abolitionist,0,1,0
abominable,1,0,0
abominably,1,0,0
abominate,0,0,1
abomination,0,1,0
aboriginal,1,0,0
aboriginal,0,1,0
aborigine,0,1,0
aborning,1,0,0
abort,0,0,1
abortion,0,1,0
abortionist,0,1,0
abortive,1,0,0
abortively,1,0,0
abound,0,0,1
about,1,0,0
about,1,0,0
above,1,0,0
above,1,0,0
above,0,1,0
aboveboard,1,0,0
abracadabra,0,1,0
abrade,0,0,1
abrasion,0,1,0
abrasive,1,0,0
abrasive,0,1,0
abrasively,1,0,0
abrasiveness,0,1,0
abreast,1,0,0
abridge,0,0,1
abridgement,0,1,0
abridgment,0,1,0
abroad,1,0,0
abrogate,0,0,1
abrogation,0,1,0
abrogator,0,1,0
abrupt,1,0,0
abruptly,1,0,0
abruptness,0,1,0
abs,0,1,0
abscess,0,1,0
abscess,0,0,1
abscissa,0,1,0
abscission,0,1,0
abscond,0,0,1
absconder,0,1,0
abseil,0,1,0
abseil,0,0,1
absence,0,1,0
absent,1,0,0
absent,0,0,1
absentee,0,1,0
absenteeism,0,1,0
absently,1,0,0
absentminded,1,0,0
absentmindedly,1,0,0
absentmindedness,0,1,0
absinth,0,1,0
absinthe,0,1,0
absolute,1,0,0
absolute,0,1,0
absolutely,1,0,0
absoluteness,0,1,0
absolution,0,1,0
absolutism,0,1,0
absolutist,1,0,0
absolutist,0,1,0
absolve,0,0,1
absorb,0,0,1
absorbency,0,1,0
absorbent,1,0,0
absorbent,0,1,0
absorbingly,1,0,0
absorption,0,1,0
absorptive,1,0,0
abstain,0,0,1
abstainer,0,1,0
abstemious,1,0,0
abstemiously,1,0,0
abstemiousness,0,1,0
abstention,0,1,0
abstinence,0,1,0
abstinent,1,0,0
abstract,1,0,0
abstract,0,1,0
abstract,0,0,1
abstractedly,1,0,0
abstractedness,0,1,0
abstraction,0,1,0
abstractly,1,0,0
abstractness,0,1,0
abstruse,1,0,0
abstrusely,1,0,0
abstruseness,0,1,0
absurd,1,0,0
-absurd,0,1,0
absurdity,0,1,0
absurdly,1,0,0
absurdness,0,1,0
abundance,0,1,0
abundant,1,0,0
abundantly,1,0,0
abuse,0,1,0
abuse,0,0,1
abuser,0,1,0
abusive,1,0,0
abusively,1,0,0
abusiveness,0,1,0
abut,0,0,1
abutment,0,1,0
abuzz,1,0,0
abysmal,1,0,0
abysmally,1,0,0
abyss,0,1,0
abyssal,1,0,0
acacia,0,1,0
academe,0,1,0
academia,0,1,0
academic,1,0,0
academic,0,1,0
academically,1,0,0
academician,0,1,0
academy,0,1,0
acanthus,0,1,0
accede,0,0,1
accelerate,0,0,1
acceleration,0,1,0
accelerator,0,1,0
accent,0,1,0
accent,0,0,1
accentual,1,0,0
accentuate,0,0,1
accentuation,0,1,0
accept,0,0,1
acceptability,0,1,0
acceptable,1,0,0
acceptableness,0,1,0
acceptably,1,0,0
acceptance,0,1,0
acceptation,0,1,0
access,0,1,0
access,0,0,1
accessibility,0,1,0
accessible,1,0,0
accessibly,1,0,0
accession,0,1,0
accessory,1,0,0
accessory,0,1,0
accident,0,1,0
accidental,1,0,0
accidental,0,1,0
accidentally,1,0,0
acclaim,0,1,0
acclaim,0,0,1
acclamation,0,1,0
acclimate,0,0,1
acclimation,0,1,0
acclimatization,0,1,0
acclimatize,0,0,1
acclivity,0,1,0
accolade,0,1,0
accommodate,0,0,1
accommodatingly,1,0,0
accommodation,0,1,0
accompaniment,0,1,0
accompanist,0,1,0
accompany,0,0,1
accomplice,0,1,0
accomplish,0,0,1
accomplishment,0,1,0
accord,0,1,0
accord,0,0,1
accordance,0,1,0
accordant,1,0,0
accordingly,1,0,0
accordion,1,0,0
accordion,0,1,0
accordionist,0,1,0
accost,0,1,0
accost,0,0,1
account,0,1,0
account,0,0,1
accountability,0,1,0
accountable,1,0,0
accountancy,0,1,0
accountant,0,1,0
accounting,0,1,0
accouter,0,0,1
accouterments,0,1,0
accoutre,0,0,1
accoutrements,0,1,0
accredit,0,0,1
accreditation,0,1,0
accretion,0,1,0
accrual,0,1,0
accrue,0,0,1
acculturation,0,1,0
acculturate,0,0,1
accumulate,0,0,1
accumulation,0,1,0
accumulative,1,0,0
accumulator,0,1,0
accuracy,0,1,0
accurate,1,0,0
accurately,1,0,0
accurateness,0,1,0
accursed,1,0,0
accursedness,0,1,0
accurst,1,0,0
accusation,0,1,0
accusative,1,0,0
accusative,0,1,0
accusatory,1,0,0
accuse,0,0,1
accuser,0,1,0
accusingly,1,0,0
accustom,0,0,1
ace,1,0,0
ace,0,1,0
ace,0,0,1
acerbate,0,0,1
acerbic,1,0,0
acerbically,1,0,0
acerbity,0,1,0
acetaminophen,0,1,0
acetate,0,1,0
acetic,1,0,0
acetone,0,1,0
acetonic,1,0,0
acetylene,0,1,0
ache,0,1,0
ache,0,0,1
achene,0,1,0
achievable,1,0,0
achieve,0,0,1
achievement,0,1,0
achiever,0,1,0
achoo,1,0,0
achoo,0,1,0
achromatic,1,0,0
achy,1,0,0
acid,1,0,0
acid,0,1,0
acidic,1,0,0
acidify,0,0,1
acidity,0,1,0
acidly,1,0,0
acidosis,0,1,0
acidulous,1,0,0
acknowledge,0,0,1
acknowledgement,0,1,0
acknowledgment,0,1,0
acme,0,1,0
acne,0,1,0
acolyte,0,1,0
aconite,0,1,0
acorn,0,1,0
acoustic,1,0,0
-acoustic,0,1,0
acoustical,1,0,0
acoustically,1,0,0
acoustics,0,1,0
acquaint,0,0,1
acquaintance,0,1,0
acquaintanceship,0,1,0
acquiesce,0,0,1
acquiescence,0,1,0
acquiescent,1,0,0
acquiescently,1,0,0
acquirable,1,0,0
